"","x"
"1",30
"2",60
"3",31
"4",60
"5",60
"6",40
"7",35
"8",50
"9",70
"10",85
"11",40
"12",40
"13",50
"14",40
"15",40
"16",40
"17",30
"18",20
"19",40
"20",40
"21",50
"22",40
"23",60
"24",30
"25",60
"26",40
"27",40
"28",30
"29",50
"30",60
"31",50
"32",30
"33",60
"34",30
"35",30
"36",30
"37",60
"38",40
"39",80
"40",70
"41",30
"42",30
"43",60
"44",40
"45",70
"46",60
"47",50
"48",20
"49",70
"50",50
"51",30
"52",40
"53",50
"54",40
"55",50
"56",15
"57",70
"58",70
"59",15
"60",40
"61",50
"62",70
"63",40
"64",15
"65",50
"66",30
"67",40
"68",30
"69",15
"70",30
"71",100
"72",100
"73",40
"74",35
"75",40
"76",30
"77",100
"78",30
"79",40
"80",20
"81",25
"82",30
"83",40
"84",40
"85",60
"86",30
"87",40
"88",90
"89",70
"90",40
"91",35
"92",70
"93",10
"94",18
"95",35
"96",35
"97",35
"98",50
"99",50
"100",50
"101",50
"102",50
"103",50
"104",55
"105",55
"106",55
"107",60
"108",60
"109",60
"110",60
"111",60
"112",60
"113",60
"114",60
"115",60
"116",60
"117",60
"118",60
"119",60
"120",60
"121",60
"122",70
"123",70
"124",70
"125",70
"126",70
"127",70
"128",70
"129",70
"130",70
"131",70
"132",70
"133",70
"134",70
"135",70
"136",70
"137",75
"138",80
"139",80
"140",80
"141",80
"142",80
"143",80
"144",80
"145",80
"146",80
"147",80
"148",85
"149",85
"150",90
"151",90
"152",90
"153",90
"154",90
"155",90
"156",90
"157",90
"158",100
"159",100
"160",100
"161",100
"162",100
"163",100
"164",100
"165",100
"166",100
"167",100
"168",100
"169",100
"170",100
"171",100
"172",100
"173",100
"174",100
"175",100
"176",100
"177",100
"178",100
"179",100
"180",100
"181",100
"182",100
"183",100
"184",100
"185",70
"186",40
"187",60
"188",60
"189",50
"190",60
"191",60
"192",50
"193",50
"194",60
"195",70
"196",40
"197",70
"198",50
"199",70
"200",40
"201",10
"202",60
"203",30
"204",60
"205",30
"206",50
"207",60
"208",70
"209",70
"210",80
"211",70
"212",60
"213",40
"214",70
"215",50
"216",70
"217",30
"218",30
"219",60
"220",70
"221",40
"222",50
"223",50
"224",50
"225",40
"226",60
"227",70
"228",40
"229",60
"230",90
"231",30
"232",40
"233",20
"234",70
"235",40
"236",50
"237",50
"238",80
"239",65
"240",40
"241",40
"242",50
"243",60
"244",70
"245",70
"246",50
"247",50
"248",50
"249",60
"250",20
"251",40
"252",60
"253",70
"254",60
"255",70
"256",70
"257",40
"258",20
"259",40
"260",40
"261",60
"262",70
"263",60
"264",70
"265",40
"266",30
"267",70
"268",40
"269",40
"270",60
"271",70
"272",40
"273",50
"274",60
"275",70
"276",90
"277",60
"278",80
"279",80
"280",30
"281",70
"282",70
"283",40
"284",40
"285",40
"286",40
"287",40
"288",40
"289",80
"290",40
"291",40
"292",60
"293",40
"294",30
"295",40
"296",40
"297",40
"298",40
"299",40
"300",50
"301",40
"302",40
"303",40
"304",50
"305",50
"306",30
"307",40
"308",50
"309",50
"310",50
"311",50
"312",50
"313",50
"314",50
"315",50
"316",50
"317",50
"318",50
"319",50
"320",50
"321",50
"322",50
"323",60
"324",60
"325",60
"326",60
"327",60
"328",60
"329",60
"330",60
"331",60
"332",60
"333",60
"334",60
"335",60
"336",60
"337",60
"338",60
"339",60
"340",60
"341",60
"342",60
"343",65
"344",70
"345",70
"346",70
"347",70
"348",70
"349",70
"350",70
"351",70
"352",70
"353",70
"354",70
"355",70
"356",70
"357",70
"358",70
"359",70
"360",70
"361",70
"362",70
"363",80
"364",80
"365",80
"366",80
"367",80
"368",80
"369",80
"370",80
"371",80
"372",80
"373",80
"374",80
"375",80
"376",80
"377",80
"378",80
"379",80
"380",90
"381",90
"382",90
"383",90
"384",90
"385",90
"386",90
"387",90
"388",90
"389",90
"390",90
"391",90
"392",90
"393",95
"394",100
"395",100
"396",100
"397",100
"398",100
"399",100
"400",100
"401",100
"402",100
"403",100
"404",100
"405",100
"406",100
"407",70
"408",40
"409",50
"410",40
"411",60
"412",50
"413",50
"414",100
"415",60
"416",70
"417",60
"418",90
"419",40
"420",40
"421",40
"422",40
"423",40
"424",40
"425",30
"426",60
"427",30
"428",30
"429",100
"430",20
"431",20
"432",20
"433",25
"434",24
"435",24
"436",23
"437",24
"438",23
"439",24
"440",25
"441",26
"442",27
"443",27
"444",25
"445",25
"446",22
"447",22
"448",23
"449",25
"450",25
"451",26
"452",24
"453",23
"454",25
"455",24
"456",24
"457",24
"458",23
"459",23
"460",24
"461",24
"462",22
"463",24
"464",24
"465",24
"466",24
"467",24
"468",23
"469",23
"470",24
"471",23
"472",24
"473",24
"474",24
"475",22
"476",22
"477",24
"478",23
"479",23
"480",23
"481",25
"482",26
"483",27
"484",25
"485",22
"486",23
"487",25
"488",24
"489",25
"490",25
"491",23
"492",24
"493",24
"494",26
"495",25
"496",25
"497",23
"498",23
"499",80
"500",15
"501",25
"502",29
"503",36
"504",60
"505",30
"506",30
"507",40
"508",30
"509",40
"510",30
"511",30
"512",40
"513",40
"514",30
"515",40
"516",30
"517",30
"518",30
"519",30
"520",30
"521",30
"522",40
"523",30
"524",30
"525",30
"526",30
"527",30
"528",30
"529",40
"530",30
"531",30
"532",30
"533",30
"534",30
"535",30
"536",30
"537",30
"538",30
"539",30
"540",30
"541",30
"542",40
"543",30
"544",30
"545",40
"546",25
"547",25
"548",22
"549",24
"550",25
"551",24
"552",23
"553",24
"554",60
"555",50
"556",40
"557",30
"558",40
"559",60
"560",60
"561",40
"562",40
"563",32
"564",30
"565",40
"566",40
"567",23
"568",40
"569",40
"570",60
"571",40
"572",40
"573",40
"574",33
"575",40
"576",40
"577",27
"578",28
"579",26
"580",40
"581",40
"582",23
"583",22
"584",24
"585",28
"586",23
"587",26
"588",23
"589",40
"590",40
"591",40
"592",40
"593",40
"594",40
"595",24
"596",21
"597",24
"598",60
"599",40
"600",24
"601",40
"602",50
"603",50
"604",24
"605",25
"606",27
"607",40
"608",35
"609",60
"610",40
"611",40
"612",40
"613",60
"614",70
"615",40
"616",60
"617",60
"618",60
"619",70
"620",70
"621",70
"622",70
"623",70
"624",40
"625",70
"626",70
"627",50
"628",50
"629",70
"630",90
"631",60
"632",23
"633",23
"634",24
"635",15
"636",22
"637",30
"638",50
"639",60
"640",80
"641",70
"642",90
"643",30
"644",40
"645",40
"646",50
"647",100
"648",100
"649",80
"650",80
"651",90
"652",90
"653",90
"654",100
"655",70
"656",50
"657",50
"658",80
"659",80
"660",70
"661",60
"662",80
"663",70
"664",70
"665",70
"666",80
"667",100
"668",60
"669",80
"670",90
"671",70
"672",50
"673",60
"674",60
"675",70
"676",60
"677",80
"678",90
"679",50
"680",90
"681",50
"682",60
"683",50
"684",60
"685",70
"686",60
"687",50
"688",60
"689",50
"690",70
"691",80
"692",70
"693",60
"694",70
"695",80
"696",100
"697",60
"698",70
"699",50
"700",70
"701",70
"702",60
"703",50
"704",60
"705",60
"706",80
"707",80
"708",100
"709",80
"710",60
"711",60
"712",70
"713",80
"714",80
"715",80
"716",60
"717",60
"718",70
"719",80
"720",100
"721",70
"722",50
"723",60
"724",70
"725",70
"726",60
"727",50
"728",100
"729",50
"730",50
"731",40
"732",40
"733",80
"734",80
"735",70
"736",30
"737",60
"738",70
"739",60
"740",30
"741",30
"742",70
"743",70
"744",70
"745",40
"746",40
"747",40
"748",60
"749",40
"750",40
"751",40
"752",60
"753",60
"754",70
"755",60
"756",80
"757",40
"758",60
"759",60
"760",60
"761",30
"762",40
"763",50
"764",80
"765",50
"766",70
"767",50
"768",40
"769",40
"770",40
"771",40
"772",40
"773",50
"774",60
"775",90
"776",70
"777",70
"778",80
"779",60
"780",50
"781",40
"782",40
"783",60
"784",70
"785",60
"786",40
"787",60
"788",40
"789",40
"790",40
"791",40
"792",40
"793",50
"794",40
"795",40
"796",40
"797",40
"798",80
"799",70
"800",70
"801",45
"802",45
"803",45
"804",50
"805",60
"806",90
"807",30
"808",30
"809",24
"810",25
"811",23
"812",26
"813",40
"814",60
"815",70
"816",60
"817",70
"818",90
"819",100
"820",70
"821",28
"822",31
"823",23
"824",24
"825",25
"826",23
"827",24
