"","calBP","JanPrecip","FebPrecip","MarPrecip","AprPrecip","MayPrecip","JunPrecip","JulPrecip","AugPrecip","SepPrecip","OctPrecip","NovPrecip","DecPrecip","JanTmin","FebTmin","MarTmin","AprTmin","MayTmin","JunTmin","JulTmin","AugTmin","SepTmin","OctTmin","NovTmin","DecTmin","JanTmax","FebTmax","MarTmax","AprTmax","MayTmax","JunTmax","JulTmax","AugTmax","SepTmax","OctTmax","NovTmax","DecTmax","MoAvgPrecip","MoAvgTmin","MoAvgTmax"
"X.500",5000,26.1776005249023,25.9968004455566,33.7488004760742,33.1568006134033,32.0992003936768,22.6184004020691,31.8000005722046,36.5168006896973,30.7336004180908,29.2784004821777,20.6504003486633,23.3960004501343,-15.4414396362305,-13.4255196723938,-9.97167971420288,-5.06591990339756,0.341599995076656,4.88439989376068,9.71303977179527,9.26279974770546,4.76527990341186,-0.983839977383614,-7.83871981430054,-13.3122397079468,-0.362479996740818,1.49159996706247,4.43399990418553,9.62631981658935,16.454239654541,23.8363994903564,28.6717594604492,27.7847192993164,23.2122393493652,16.415039604187,7.783199832201,1.61487996478379,28.8477338180542,-3.08935325950881,13.4134930288581
"X.499",4990,29.029600479126,28.1856004867554,34.8576006164551,33.320800567627,32.940000579834,24.6008003692627,34.6128005523682,38.9040007476807,31.5544004211426,29.783200592041,21.5056003799438,25.4520003128052,-14.2007197113037,-12.3166397209167,-9.30167978668213,-4.74967989003658,0.560319990843534,5.2003198826164,10.0339197926521,9.41447981452942,4.69527989244461,-1.00079998326302,-7.45847987365723,-12.3679197311401,0.759359980612993,2.47095993979275,5.0853598870635,9.98607976913452,16.670159538269,24.0498395080566,28.9063194122314,28.021519317627,23.4681594085693,16.8219995498657,8.47495980358124,2.61687994985282,30.3955338420868,-2.62429994365945,13.9442996720547
"X.498",4980,27.2448003845215,26.3248004302979,32.231200630188,31.9120005187988,33.7768006820679,26.9824005508423,40.0024008331299,43.7728005218506,32.6888005828857,28.5368004455566,19.8880002937317,23.6584003677368,-13.9505596542358,-11.9419197120666,-8.94335980224609,-4.70951989924908,-0.00216000083088875,3.95311987996101,8.40367980152369,7.85599980968237,3.58455991339684,-1.59647996751964,-7.6476798286438,-12.3043997306824,0.553679988220334,2.51423993340135,5.46815988574922,10.3767197322845,16.6287195739746,23.3469595184326,27.8359193725586,27.0731993713379,22.9956795501709,16.7127195968628,8.4260798125267,2.41471995215118,30.5849338534673,-3.10822659924254,13.6955663573059
"X.497",4970,28.8760004806519,26.8872005004883,30.757600479126,28.6016005096436,28.5624004898071,21.9192003555298,32.1048006362915,36.1704006958008,28.2912005310059,26.3496005554199,19.7080004272461,24.7824003982544,-13.6723996658325,-11.5600797996521,-8.32607982635498,-3.85103991734982,1.03023996686935,5.06639989566803,9.53039976641536,8.93855982458591,4.56279992359877,-0.800959967270493,-7.08471985816956,-11.9536797218323,0.587679978102446,2.82671993342042,6.27311985974014,11.6529597091675,18.2175196075439,25.0388795013428,29.4692793426514,28.5192792816162,24.1499195251465,17.486399597168,8.79679984283447,2.48119995415211,27.7508671716054,-2.34337994827703,14.6249796777405
"X.496",4960,29.6440004730225,28.6456004104614,35.5232005844116,33.6616005325317,31.5808006057739,21.828800453186,30.3512004470825,35.7152006988525,31.4808005523682,31.4416004943848,22.9704002761841,26.5560004196167,-13.5879997329712,-11.7141597328186,-8.77487981033325,-4.28863989166915,0.996479961171746,5.64183988550305,10.4597597637177,9.79087978744507,5.01663989067078,-0.673439984768629,-7.0452798538208,-11.8298397369385,1.31887996695936,3.13183995324373,5.71399989700317,10.6060797100067,17.3523196029663,24.8048794250488,29.5751193695068,28.4157594299316,23.5156793670654,16.7067195739746,8.46831980609894,2.91799993355572,29.9499338289897,-2.16738662123432,14.3772996696134
"X.495",4950,32.6952006988525,29.7584005050659,33.4128005599976,30.8792005233765,32.1040004501343,26.5568003616333,38.4920008087158,43.7128007965088,34.3152006072998,31.68800050354,23.3656003265381,28.8320004730225,-15.1991996994019,-12.8706397247314,-9.08887977600098,-4.2636799171418,0.57007998073101,4.29047990015149,8.62239978885651,8.23031985518336,4.22231987941265,-1.07559997022152,-7.72815983200073,-13.1963196678162,0.0707200020849705,2.24415994663537,5.63863986831903,10.8432797546387,17.1026396102905,23.6115995101929,27.9719993438721,27.2643193664551,23.3391994247437,17.0286396484375,8.4659998254776,2.07223996691406,32.1510005512238,-3.12390659858162,13.8044530223384
"X.494",4940,29.3088004608154,28.6240004653931,34.4560007476807,32.62400050354,32.8464005050659,24.9584003448486,36.4256007385254,38.8064006500244,28.6848005218506,25.753600479126,19.1032003250122,24.3664004592896,-13.986559677124,-12.1067197380066,-9.05167980575562,-4.5923198954761,0.459839986860752,4.79255990862846,9.53255978369713,9.1115197789669,4.77999988949299,-0.629279973864555,-7.02295984840393,-12.0531997375488,0.514240005940199,2.35655993248522,5.4018398938179,10.5736797714233,17.199679649353,24.3107993927002,29.0969593505859,28.4603193969727,24.3115194549561,17.7731195907593,9.10383984279633,2.68055993317068,29.6631338500977,-2.56385327737778,14.3152596845801
"X.493",4930,26.6384005355835,28.2912004013062,37.9448008270264,37.8008006591797,36.6312006759644,25.3800004425049,32.7632005996704,33.7800005187988,25.7248003845215,23.5568002929687,17.3032002906799,21.5704004592896,-14.3486396713257,-11.8495997390747,-8.1336798248291,-3.35071991476417,1.54895995694399,5.35135989771783,9.5197598041296,8.67903980094194,4.12383991406858,-1.41055997101963,-7.8503998260498,-12.7877597999573,0.598079986155033,2.77935992491245,5.97535987755656,11.1040798053741,17.5113595504761,24.2712794647217,28.6446392822266,27.6231994781494,23.2180794906616,16.675919593811,8.27359982252121,2.30455995437503,28.9487338406245,-2.54236661443487,14.0816263525784
"X.492",4920,34.2712005157471,30.6968005828857,33.6144007644653,30.6464004898071,31.50400050354,25.7632005195618,39.3464006347656,45.196000869751,35.0272006378174,32.3816005554199,24.1072004470825,30.1608004379272,-12.6092797164917,-10.7532797527313,-8.1768798122406,-4.21839990723133,0.520959983617067,4.71455989360809,9.25007980084419,8.52223978281021,3.93991992330551,-1.30047996979952,-7.04895986366272,-11.2110397148132,1.61303995925188,3.56391991241276,6.28591986747086,11.0255197620392,17.2833595962524,24.1099994506836,28.5623193206787,27.5575993652344,23.1599195251465,16.7937595901489,8.7527998008728,3.18607991975546,32.7262672465642,-2.36421327939878,14.3245196724956
"X.491",4910,32.422400604248,32.0720004272461,39.324000617981,36.8504007415771,35.4376005935669,25.4888003997803,35.3040005493164,38.5336007385254,30.6368004455566,29.0784004669189,21.7944003372192,27.2864005050659,-14.6005596694946,-12.3017597084045,-8.79263981819153,-4.11215989199281,0.830639978051186,4.79399989873171,9.14663980674744,8.45263980102539,3.98631988036633,-1.49879997101426,-7.92799980545044,-12.9090397033691,0.295999996051192,2.40415994232893,5.58343987998366,10.804159740448,17.4072797012329,24.4041595153809,28.9312793579102,27.9251193695068,23.4127994308472,16.7215196380615,8.17991981220245,2.09959996834397,32.0190672022502,-2.91105993358294,14.0141196960248
