,State,ID,Material,Taxa,Type,County,Measured,Mea_SE,Norm,Norm_SE,X13C,SiteID,SiteName,Lat,Long,Strat,Context,AMS_Radio,Comment,Reference,Region,Date,Error,Site_Name
31017,California,CAMS-154748,BONE,Leporid A,PALEONTOLOGICAL,San Bernardino,NA,NA,50,30,NA,NA,"Mescal Cave (SBC1.10.12, UCMP V3864)",34.828251,-116.191349,NA,NA,AMS,NA,Stegner 2015-The Mescal Cave Fauna…,Basin,50,30,"Mescal Cave (SBC1.10.12, UCMP V3864)"
31018,California,Beta-41041,CHARCOAL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,70,60,-25,CA-SBR-3773,NA,34.828251,-116.191349,NA,"3: roasting pit, Feature 1",RADIOMETRIC,NA,"Milburn et al. 2009, Spatial and Temporal Distributions…",Basin,70,60,CA-SBR-3773
31019,California,D-AMS-21756,CHARCOAL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,83,31,NA,CA-SBR-425/H,Muscupiabit,34.828251,-116.191349,NA,"Feature 1, n. quadrant",AMS,NA,Grenda 2017-Characterizing Muscupiabit….,Basin,83,31,Muscupiabit
31020,California,Beta-230174,CHARCOAL,NA,NA,San Bernardino,NA,NA,100,60,-24.6,CA-SBR-?,NA,34.828251,-116.191349,NA,29 Palms 6,NA,NA,Scharlotta 2015 (personal comm),Basin,100,60,CA-SBR-?
31021,California,Beta-205770,FECES,"Neotoma, packrat midden",PALEONTOLOGICAL,San Bernardino,NA,NA,150,60,NA,CA-SBR-?,NA,34.828251,-116.191349,NA,S Avawwatz Mountain,NA,NA,"Byrd, et al. 2009",Basin,150,60,CA-SBR-?
31022,California,Beta-230176,CHARCOAL,NA,NA,San Bernardino,NA,NA,180,40,-20.7,CA-SBR-?,NA,34.828251,-116.191349,NA,29 Palms 8,NA,NA,Scharlotta 2015 (personal comm),Basin,180,40,CA-SBR-?
31023,California,CAMS-154762,BONE,Neotoma sp.,PALEONTOLOGICAL,San Bernardino,NA,NA,180,35,NA,NA,"Mescal Cave (SBC1.10.12, UCMP V3864)",34.828251,-116.191349,NA,NA,AMS,NA,Stegner 2015-The Mescal Cave Fauna…,Basin,180,35,"Mescal Cave (SBC1.10.12, UCMP V3864)"
31024,California,Beta-230173,CHARCOAL,NA,NA,San Bernardino,NA,NA,190,50,-21.7,CA-SBR-?,NA,34.828251,-116.191349,NA,29 Palms 5,NA,NA,Scharlotta 2015 (personal comm),Basin,190,50,CA-SBR-?
31025,California,A-3939,FECES,"Neotoma, packrat midden",PALEONTOLOGICAL,San Bernadino,NA,NA,200,70,NA,NA,Whipple Mts,34.828251,-116.191349,NA,Packrat midden,RADIOMETRIC,NA,"Van Devender, Toolin and Burgess 1990",Basin,200,70,Whipple Mts
31026,California,UCR-2034-1/AA-3043,OTHER,"Organic, insect",ARCHAEOLOGICAL,San Bernardino,NA,NA,230,85,NA,CA-SBR-334,Southcott Cave,34.828251,-116.191349,NA,lac scale (insect) resin on pot,AMS,NA,"Sutton, et al. 1985",Basin,230,85,Southcott Cave
31027,California,Beta-230175,CHARCOAL,NA,NA,San Bernardino,NA,NA,250,40,-21.5,CA-SBR-?,NA,34.828251,-116.191349,NA,29 Palms 7,NA,NA,Scharlotta 2015 (personal comm),Basin,250,40,CA-SBR-?
31028,California,Beta-168670,CHARCOAL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,250,40,NA,CA-SBR-2600,Well,34.828251,-116.191349,10-12 cmbs,"Feature 1, Unit 4, 10-12 cmbs",NA,NA,Allen 2013-Living on the Edge,Basin,250,40,Well
31029,California,Beta-41040,WOOD,burnt log,ARCHAEOLOGICAL,San Bernardino,NA,NA,260,50,-25,CA-SBR-3773,NA,34.828251,-116.191349,NA,"4: roasting pit, Feature 2",RADIOMETRIC,NA,"Milburn et al. 2009, Spatial and Temporal Distributions…",Basin,260,50,CA-SBR-3773
31030,California,Beta-230177,CHARCOAL,NA,NA,San Bernardino,NA,NA,280,40,-22.3,CA-SBR-?,NA,34.828251,-116.191349,NA,29 Palms 9,NA,NA,Scharlotta 2015 (personal comm),Basin,280,40,CA-SBR-?
31031,California,Beta-168671,CHARCOAL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,300,40,NA,CA-SBR-2608,Hunting Blind,34.828251,-116.191349,20-30 cmbs,Charcoal sample,NA,NA,Allen 2013-Living on the Edge,Basin,300,40,Hunting Blind
31032,California,Beta-230170,CHARCOAL,NA,NA,San Bernardino,NA,NA,310,40,-22,CA-SBR-?,NA,34.828251,-116.191349,NA,29 Palms 2,NA,NA,Scharlotta 2015 (personal comm),Basin,310,40,CA-SBR-?
31033,California,Beta-419327,CHARCOAL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,330,30,-10.4,CA-SBR-1813,NA,34.828251,-116.191349,NA,STU 6; Flot 8; Feature 4,AMS,NA,NA,Basin,330,30,CA-SBR-1813
31034,California,PRI-12-10-RCT1-10,CHARCOAL,Larrea tridentata,GEOLOGICAL,San Bernardino,NA,NA,335,20,NA,NA,Echo Playa Trench Site,34.828251,-116.191349,45 cm,"West Wall, Unit 140",AMS,NA,Puseman 2012-PRI Technical Report 12-010,Basin,335,20,Echo Playa Trench Site
31035,California,Beta-230172,CHARCOAL,NA,NA,San Bernardino,NA,NA,340,40,-20.9,CA-SBR-?,NA,34.828251,-116.191349,NA,29 Palms 4,NA,NA,Scharlotta 2015 (personal comm),Basin,340,40,CA-SBR-?
31036,California,Beta-230169,CHARCOAL,NA,NA,San Bernardino,NA,NA,340,40,-20,CA-SBR-?,NA,34.828251,-116.191349,NA,29 Palms 1,NA,NA,Scharlotta 2015 (personal comm),Basin,340,40,CA-SBR-?
31037,California,Beta-163582,CHARCOAL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,340,50,NA,CA-SBR-1197,NA,34.828251,-116.191349,NA,"50-70 cm of windblown sand removed, hearth",NA,NA,NA,Basin,340,50,CA-SBR-1197
31038,California,Beta-211390,CHARCOAL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,350,40,NA,CA-SBR-?,"Searles, Salt Wells Valley",34.828251,-116.191349,NA,"RLK # AMP-07, wood ash from under roasting pit",NA,NA,"Kaldenberg, 2006; Rogers, 2009",Basin,350,40,"Searles, Salt Wells Valley"
31039,California,Beta-205767,FECES,"Neotoma, packrat midden",PALEONTOLOGICAL,San Bernardino,NA,NA,390,60,NA,CA-SBR-?,NA,34.828251,-116.191349,NA,S Avawwatz Mountain,NA,NA,"Byrd, et al. 2009",Basin,390,60,CA-SBR-?
31040,California,Beta-408447,CHARCOAL,NA,ARCHAEOLOGICAL,San Bernardino,NA,NA,460,30,NA,CA-SBR-1813,NA,34.828251,-116.191349,NA,"Locus 1, Scrape 1, Feature 1",AMS,NA,NA,Basin,460,30,CA-SBR-1813
31041,California,A-3940,FECES,"Neotoma, packrat midden",PALEONTOLOGICAL,San Bernadino,NA,NA,470,60,NA,NA,Whipple Mts,34.828251,-116.191349,NA,Packrat midden,RADIOMETRIC,NA,"Van Devender, Toolin and Burgess 1990",Basin,470,60,Whipple Mts
