"","X","State","ID","Material","Taxa","Type","County","Measured","Mea_SE","Norm","Norm_SE","X13C","SiteID","SiteName","Lat","Long","Strat","Context","AMS_Radio","Comment","Reference","Region","Date","Error","Site_Name"
"1",38447,"Arizona","A-10347","WOOD","Juniperus osteosperma twigs, packrat midden","PALEONTOLOGICAL",NA,NA,NA,1930,80,NA,"E:","Wide Rock",36.5,-109.5,NA,"indurated packrat midden, 15 x 1 x 0.76 m, level 2, 45 cmbs","RADIOMETRIC",NA,"Mead et al., 1978","Plateau",1930,80,"Wide Rock"
"2",38555,"Arizona","A-2464","SEEDS","Zea mays cob with kernels","ARCHAEOLOGICAL",NA,NA,NA,1430,24,NA,"E:8:1 (ASM)","Broken Flute Cave",36.5,-109.5,NA,"One cob with kernels from a Basketmaker III context.  Dated as an experiment to test the utility of maize dating.","RADIOMETRIC",NA,"CREEL AND LONG 1986","Plateau",1430,24,"Broken Flute Cave"
"4",38675,"Arizona","AA-81935","TEXTILE","sandal","ARCHAEOLOGICAL",NA,NA,NA,1162,36,NA,"NA-2676","Waterfall Ruin",36.5,-109.5,NA,NA,"AMS",NA,"Yoder 2009- Puebloan plain-weave pointed/rounded-toe sandals","Plateau",1162,36,"Waterfall Ruin"
"5",38677,"Arizona","AA-81937","TEXTILE","sandal","ARCHAEOLOGICAL",NA,NA,NA,968,35,NA,"NA-2676","Waterfall Ruin",36.5,-109.5,NA,NA,"AMS",NA,"Yoder 2009- Puebloan plain-weave pointed/rounded-toe sandals","Plateau",968,35,"Waterfall Ruin"
"6",38678,"Arizona","AA-82173","TEXTILE","Twisted cotton and dog hair","ARCHAEOLOGICAL","Apache",NA,NA,1179,38,NA,"E:7:10","Obelisk Cave",36.5,-109.5,NA,"From cache of 6 sashes - Cotton and dog hair sash, ASM #A-21413","AMS",NA,"Freer-Waters and Jacobs 2014 - Dog Hair Sashes From…","Plateau",1179,38,"Obelisk Cave"
"7",38681,"Arizona","AA-83184","TEXTILE","sandal","ARCHAEOLOGICAL",NA,NA,NA,1154,43,NA,"E:","Zele Cave",36.5,-109.5,NA,NA,"AMS",NA,"Yoder 2009- Puebloan plain-weave pointed/rounded-toe sandals","Plateau",1154,43,"Zele Cave"
"8",38682,"Arizona","AA-83185","TEXTILE","sandal","ARCHAEOLOGICAL",NA,NA,NA,942,38,NA,"E:","Zele Cave",36.5,-109.5,NA,NA,"AMS",NA,"Yoder 2009- Puebloan plain-weave pointed/rounded-toe sandals","Plateau",942,38,"Zele Cave"
"9",38694,"Arizona","AA-87861","WOOD",NA,"ARCHAEOLOGICAL",NA,NA,NA,2078,38,-22.3,"E:","Prayer Rock Cave 9, AZ",36.5,-109.5,NA,NA,"AMS",NA,"Geib 2016","Plateau",2078,38,"Prayer Rock Cave 9, AZ"
"10",39020,"Arizona","Beta-95166","SEEDS","Zea mays kernels, charred","ARCHAEOLOGICAL","Canyon De Chelly",NA,NA,1990,90,-11.6,"E:","Trail Canyon, Cave 2",36.5,-109.5,NA,"6 kernels from Zea mays ear; UCM-2367",NA,NA,"Smiley and Robins 1997:Table A.1","Plateau",1990,90,"Trail Canyon, Cave 2"
"11",39021,"Arizona","Beta-95172","SEEDS","Zea mays kernels, charred","ARCHAEOLOGICAL","Canyon De Chelly",NA,NA,1230,80,-9.9,"E:","Tseahatso",36.5,-109.5,NA,"6 kernels from Zea mays ear; UCM-2526b",NA,NA,"Smiley and Robins 1997:Table A.1","Plateau",1230,80,"Tseahatso"
